 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):1, Score:41.0, timesteps:969
1 Result (1->win; 0->lose):1, Score:50.0, timesteps:591
2 Result (1->win; 0->lose):0, Score:8.0, timesteps:812
3 Result (1->win; 0->lose):0, Score:20.0, timesteps:373
4 Result (1->win; 0->lose):0, Score:15.0, timesteps:639
5 Result (1->win; 0->lose):0, Score:19.0, timesteps:714
6 Result (1->win; 0->lose):0, Score:42.0, timesteps:906
7 Result (1->win; 0->lose):0, Score:25.0, timesteps:812
8 Result (1->win; 0->lose):0, Score:32.0, timesteps:337
9 Result (1->win; 0->lose):1, Score:53.0, timesteps:782
10 Result (1->win; 0->lose):0, Score:44.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:16.0, timesteps:698
12 Result (1->win; 0->lose):1, Score:53.0, timesteps:584
13 Result (1->win; 0->lose):0, Score:8.0, timesteps:698
14 Result (1->win; 0->lose):0, Score:3.0, timesteps:421
15 Result (1->win; 0->lose):0, Score:19.0, timesteps:812
16 Result (1->win; 0->lose):1, Score:57.0, timesteps:569
17 Result (1->win; 0->lose):0, Score:11.0, timesteps:489
18 Result (1->win; 0->lose):0, Score:4.0, timesteps:357
19 Result (1->win; 0->lose):0, Score:16.0, timesteps:385
20 Result (1->win; 0->lose):1, Score:49.0, timesteps:503
21 Result (1->win; 0->lose):0, Score:24.0, timesteps:277
22 Result (1->win; 0->lose):1, Score:58.0, timesteps:639
23 Result (1->win; 0->lose):1, Score:60.0, timesteps:491
24 Result (1->win; 0->lose):0, Score:30.0, timesteps:809
25 Result (1->win; 0->lose):0, Score:44.0, timesteps:956
26 Result (1->win; 0->lose):0, Score:6.0, timesteps:357
27 Result (1->win; 0->lose):0, Score:2.0, timesteps:454
28 Result (1->win; 0->lose):1, Score:58.0, timesteps:726
29 Result (1->win; 0->lose):0, Score:32.0, timesteps:348
30 Result (1->win; 0->lose):0, Score:22.0, timesteps:277
31 Result (1->win; 0->lose):1, Score:59.0, timesteps:717
32 Result (1->win; 0->lose):0, Score:28.0, timesteps:298
33 Result (1->win; 0->lose):0, Score:52.0, timesteps:535
34 Result (1->win; 0->lose):1, Score:56.0, timesteps:564
35 Result (1->win; 0->lose):1, Score:58.0, timesteps:713
36 Result (1->win; 0->lose):1, Score:53.0, timesteps:556
37 Result (1->win; 0->lose):0, Score:20.0, timesteps:196
38 Result (1->win; 0->lose):1, Score:54.0, timesteps:741
39 Result (1->win; 0->lose):1, Score:52.0, timesteps:633
40 Result (1->win; 0->lose):0, Score:35.0, timesteps:385
41 Result (1->win; 0->lose):0, Score:48.0, timesteps:471
42 Result (1->win; 0->lose):0, Score:55.0, timesteps:888
43 Result (1->win; 0->lose):1, Score:50.0, timesteps:687
44 Result (1->win; 0->lose):0, Score:45.0, timesteps:860
45 Result (1->win; 0->lose):1, Score:56.0, timesteps:729
46 Result (1->win; 0->lose):1, Score:52.0, timesteps:800
47 Result (1->win; 0->lose):0, Score:26.0, timesteps:289
48 Result (1->win; 0->lose):0, Score:45.0, timesteps:603
49 Result (1->win; 0->lose):0, Score:38.0, timesteps:907
50 Result (1->win; 0->lose):1, Score:51.0, timesteps:732
51 Result (1->win; 0->lose):0, Score:11.0, timesteps:193
52 Result (1->win; 0->lose):0, Score:26.0, timesteps:292
53 Result (1->win; 0->lose):1, Score:53.0, timesteps:781
54 Result (1->win; 0->lose):0, Score:38.0, timesteps:325
55 Result (1->win; 0->lose):1, Score:55.0, timesteps:826
56 Result (1->win; 0->lose):1, Score:51.0, timesteps:741
57 Result (1->win; 0->lose):0, Score:45.0, timesteps:577
58 Result (1->win; 0->lose):0, Score:48.0, timesteps:960
59 Result (1->win; 0->lose):1, Score:53.0, timesteps:607
