 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:14.0, timesteps:509
1 Result (1->win; 0->lose):0, Score:20.0, timesteps:719
2 Result (1->win; 0->lose):0, Score:6.0, timesteps:377
3 Result (1->win; 0->lose):0, Score:10.0, timesteps:289
4 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:16.0, timesteps:656
7 Result (1->win; 0->lose):0, Score:20.0, timesteps:824
8 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:8.0, timesteps:380
10 Result (1->win; 0->lose):0, Score:18.0, timesteps:624
11 Result (1->win; 0->lose):0, Score:6.0, timesteps:515
12 Result (1->win; 0->lose):0, Score:22.0, timesteps:812
13 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:12.0, timesteps:401
15 Result (1->win; 0->lose):0, Score:6.0, timesteps:777
16 Result (1->win; 0->lose):0, Score:12.0, timesteps:485
17 Result (1->win; 0->lose):0, Score:10.0, timesteps:712
18 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
21 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
23 Result (1->win; 0->lose):0, Score:22.0, timesteps:652
24 Result (1->win; 0->lose):0, Score:22.0, timesteps:553
25 Result (1->win; 0->lose):0, Score:38.0, timesteps:999
26 Result (1->win; 0->lose):0, Score:20.0, timesteps:846
27 Result (1->win; 0->lose):0, Score:40.0, timesteps:943
28 Result (1->win; 0->lose):0, Score:10.0, timesteps:739
29 Result (1->win; 0->lose):0, Score:8.0, timesteps:902
30 Result (1->win; 0->lose):0, Score:16.0, timesteps:800
31 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:16.0, timesteps:592
33 Result (1->win; 0->lose):0, Score:6.0, timesteps:597
34 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:6.0, timesteps:515
36 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:10.0, timesteps:312
38 Result (1->win; 0->lose):0, Score:20.0, timesteps:648
39 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:12.0, timesteps:808
41 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
42 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:8.0, timesteps:971
44 Result (1->win; 0->lose):0, Score:8.0, timesteps:410
45 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:14.0, timesteps:988
47 Result (1->win; 0->lose):0, Score:4.0, timesteps:532
48 Result (1->win; 0->lose):0, Score:4.0, timesteps:511
49 Result (1->win; 0->lose):0, Score:10.0, timesteps:615
50 Result (1->win; 0->lose):0, Score:24.0, timesteps:579
51 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:44.0, timesteps:804
53 Result (1->win; 0->lose):0, Score:8.0, timesteps:824
54 Result (1->win; 0->lose):0, Score:22.0, timesteps:515
55 Result (1->win; 0->lose):0, Score:44.0, timesteps:874
56 Result (1->win; 0->lose):0, Score:14.0, timesteps:643
57 Result (1->win; 0->lose):0, Score:24.0, timesteps:573
58 Result (1->win; 0->lose):0, Score:6.0, timesteps:515
59 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:36.0, timesteps:851
61 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:20.0, timesteps:550
63 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
