 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:65
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:73
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:63
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:70
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:167
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:31
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:87
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:229
36 Result (1->win; 0->lose):0, Score:-2.0, timesteps:34
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:104
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:142
42 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
43 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
44 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
45 Result (1->win; 0->lose):0, Score:-2.0, timesteps:100
46 Result (1->win; 0->lose):0, Score:-2.0, timesteps:103
47 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
48 Result (1->win; 0->lose):0, Score:-2.0, timesteps:66
49 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
50 Result (1->win; 0->lose):0, Score:-2.0, timesteps:128
51 Result (1->win; 0->lose):0, Score:-2.0, timesteps:55
52 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
53 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
54 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
55 Result (1->win; 0->lose):0, Score:-2.0, timesteps:48
56 Result (1->win; 0->lose):0, Score:-2.0, timesteps:152
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:165
58 Result (1->win; 0->lose):0, Score:-2.0, timesteps:90
59 Result (1->win; 0->lose):0, Score:-2.0, timesteps:50
60 Result (1->win; 0->lose):0, Score:-2.0, timesteps:91
61 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
62 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
63 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
64 Result (1->win; 0->lose):0, Score:-2.0, timesteps:135
65 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
66 Result (1->win; 0->lose):0, Score:-2.0, timesteps:157
67 Result (1->win; 0->lose):0, Score:-2.0, timesteps:99
68 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
69 Result (1->win; 0->lose):0, Score:-2.0, timesteps:99
70 Result (1->win; 0->lose):0, Score:-2.0, timesteps:14
71 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
72 Result (1->win; 0->lose):0, Score:-2.0, timesteps:75
73 Result (1->win; 0->lose):0, Score:-2.0, timesteps:143
74 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
75 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
76 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
77 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
78 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
79 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
80 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
81 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
82 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
83 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
84 Result (1->win; 0->lose):0, Score:-2.0, timesteps:31
85 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
86 Result (1->win; 0->lose):0, Score:-2.0, timesteps:152
87 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
88 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
89 Result (1->win; 0->lose):0, Score:-2.0, timesteps:161
90 Result (1->win; 0->lose):0, Score:-2.0, timesteps:104
91 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
92 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
93 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
94 Result (1->win; 0->lose):0, Score:-2.0, timesteps:14
95 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
96 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
97 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
98 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
99 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
100 Result (1->win; 0->lose):0, Score:-2.0, timesteps:80
101 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
102 Result (1->win; 0->lose):0, Score:-2.0, timesteps:62
103 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
104 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
105 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
106 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
107 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
108 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
109 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
110 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
111 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
112 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
113 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
114 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
115 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
116 Result (1->win; 0->lose):0, Score:-2.0, timesteps:28
117 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
118 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
119 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
120 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
121 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
122 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
123 Result (1->win; 0->lose):0, Score:-2.0, timesteps:14
124 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
125 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
126 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
127 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
128 Result (1->win; 0->lose):0, Score:-2.0, timesteps:48
129 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
130 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
131 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
132 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
133 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
134 Result (1->win; 0->lose):0, Score:-2.0, timesteps:106
135 Result (1->win; 0->lose):0, Score:-2.0, timesteps:271
136 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
137 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
138 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
139 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
140 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
141 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
142 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
143 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
144 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
145 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
146 Result (1->win; 0->lose):0, Score:-2.0, timesteps:90
147 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
148 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
149 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
150 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
151 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
152 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
153 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
154 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
155 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
156 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
157 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
158 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
159 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
160 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
161 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
162 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
163 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
164 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
165 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
166 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
167 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
168 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
169 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
170 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
171 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
172 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
173 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
174 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
175 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
176 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
