 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:674
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:195
2 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:0.0, timesteps:129
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:180
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:341
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:93
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:329
10 Result (1->win; 0->lose):0, Score:0.0, timesteps:147
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:861
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:598
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:641
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:23
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:340
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:325
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:249
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:252
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:357
21 Result (1->win; 0->lose):0, Score:0.0, timesteps:187
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:686
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:669
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:759
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:465
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:939
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:221
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:837
31 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:444
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:336
37 Result (1->win; 0->lose):0, Score:0.0, timesteps:950
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:597
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:28
40 Result (1->win; 0->lose):0, Score:0.0, timesteps:73
41 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:44
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:92
44 Result (1->win; 0->lose):0, Score:0.0, timesteps:265
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:130
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:660
47 Result (1->win; 0->lose):0, Score:0.0, timesteps:727
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:416
49 Result (1->win; 0->lose):0, Score:0.0, timesteps:327
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:407
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:445
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
53 Result (1->win; 0->lose):0, Score:0.0, timesteps:199
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:201
55 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:693
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:105
58 Result (1->win; 0->lose):0, Score:0.0, timesteps:514
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:883
60 Result (1->win; 0->lose):0, Score:0.0, timesteps:32
61 Result (1->win; 0->lose):0, Score:0.0, timesteps:24
62 Result (1->win; 0->lose):0, Score:0.0, timesteps:279
63 Result (1->win; 0->lose):0, Score:0.0, timesteps:334
64 Result (1->win; 0->lose):0, Score:0.0, timesteps:233
65 Result (1->win; 0->lose):0, Score:0.0, timesteps:275
66 Result (1->win; 0->lose):0, Score:0.0, timesteps:159
67 Result (1->win; 0->lose):0, Score:0.0, timesteps:567
68 Result (1->win; 0->lose):0, Score:0.0, timesteps:131
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:666
70 Result (1->win; 0->lose):0, Score:0.0, timesteps:450
71 Result (1->win; 0->lose):0, Score:0.0, timesteps:355
72 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
75 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:0.0, timesteps:798
78 Result (1->win; 0->lose):0, Score:0.0, timesteps:501
79 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
80 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
82 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
83 Result (1->win; 0->lose):0, Score:0.0, timesteps:23
84 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:0.0, timesteps:537
86 Result (1->win; 0->lose):0, Score:0.0, timesteps:470
87 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
88 Result (1->win; 0->lose):0, Score:0.0, timesteps:215
89 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:0.0, timesteps:88
91 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
92 Result (1->win; 0->lose):0, Score:0.0, timesteps:921
93 Result (1->win; 0->lose):0, Score:0.0, timesteps:85
94 Result (1->win; 0->lose):0, Score:0.0, timesteps:912
95 Result (1->win; 0->lose):0, Score:0.0, timesteps:213
96 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
97 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
98 Result (1->win; 0->lose):0, Score:0.0, timesteps:507
99 Result (1->win; 0->lose):0, Score:0.0, timesteps:879
100 Result (1->win; 0->lose):0, Score:0.0, timesteps:375
101 Result (1->win; 0->lose):0, Score:0.0, timesteps:607
102 Result (1->win; 0->lose):0, Score:0.0, timesteps:998
103 Result (1->win; 0->lose):0, Score:0.0, timesteps:243
104 Result (1->win; 0->lose):0, Score:0.0, timesteps:53
105 Result (1->win; 0->lose):0, Score:0.0, timesteps:600
106 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:674
109 Result (1->win; 0->lose):0, Score:0.0, timesteps:599
110 Result (1->win; 0->lose):0, Score:0.0, timesteps:159
111 Result (1->win; 0->lose):0, Score:0.0, timesteps:317
