 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:3.0, timesteps:173
1 Result (1->win; 0->lose):0, Score:3.0, timesteps:219
2 Result (1->win; 0->lose):0, Score:1.0, timesteps:362
3 Result (1->win; 0->lose):0, Score:9.0, timesteps:405
4 Result (1->win; 0->lose):0, Score:5.0, timesteps:310
5 Result (1->win; 0->lose):0, Score:17.0, timesteps:586
6 Result (1->win; 0->lose):0, Score:1.0, timesteps:81
7 Result (1->win; 0->lose):0, Score:5.0, timesteps:308
8 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:4.0, timesteps:19
10 Result (1->win; 0->lose):0, Score:5.0, timesteps:49
11 Result (1->win; 0->lose):0, Score:12.0, timesteps:204
12 Result (1->win; 0->lose):0, Score:3.0, timesteps:270
13 Result (1->win; 0->lose):0, Score:8.0, timesteps:331
14 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
15 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
16 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:1.0, timesteps:192
18 Result (1->win; 0->lose):0, Score:5.0, timesteps:199
19 Result (1->win; 0->lose):0, Score:4.0, timesteps:316
20 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
21 Result (1->win; 0->lose):0, Score:5.0, timesteps:239
22 Result (1->win; 0->lose):0, Score:15.0, timesteps:752
23 Result (1->win; 0->lose):0, Score:3.0, timesteps:499
24 Result (1->win; 0->lose):0, Score:1.0, timesteps:249
25 Result (1->win; 0->lose):0, Score:3.0, timesteps:403
26 Result (1->win; 0->lose):0, Score:5.0, timesteps:337
27 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:3.0, timesteps:234
29 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:1.0, timesteps:222
31 Result (1->win; 0->lose):0, Score:7.0, timesteps:870
32 Result (1->win; 0->lose):0, Score:1.0, timesteps:201
33 Result (1->win; 0->lose):0, Score:15.0, timesteps:665
34 Result (1->win; 0->lose):0, Score:3.0, timesteps:243
35 Result (1->win; 0->lose):0, Score:1.0, timesteps:267
36 Result (1->win; 0->lose):0, Score:3.0, timesteps:411
37 Result (1->win; 0->lose):0, Score:1.0, timesteps:233
38 Result (1->win; 0->lose):0, Score:3.0, timesteps:354
39 Result (1->win; 0->lose):0, Score:8.0, timesteps:258
40 Result (1->win; 0->lose):0, Score:5.0, timesteps:702
41 Result (1->win; 0->lose):0, Score:1.0, timesteps:231
42 Result (1->win; 0->lose):0, Score:1.0, timesteps:213
43 Result (1->win; 0->lose):0, Score:6.0, timesteps:444
44 Result (1->win; 0->lose):0, Score:3.0, timesteps:131
45 Result (1->win; 0->lose):0, Score:8.0, timesteps:244
46 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
47 Result (1->win; 0->lose):0, Score:3.0, timesteps:103
48 Result (1->win; 0->lose):0, Score:6.0, timesteps:193
49 Result (1->win; 0->lose):0, Score:4.0, timesteps:146
50 Result (1->win; 0->lose):0, Score:5.0, timesteps:511
51 Result (1->win; 0->lose):0, Score:4.0, timesteps:338
52 Result (1->win; 0->lose):0, Score:9.0, timesteps:297
53 Result (1->win; 0->lose):0, Score:1.0, timesteps:231
54 Result (1->win; 0->lose):0, Score:5.0, timesteps:672
55 Result (1->win; 0->lose):0, Score:16.0, timesteps:708
56 Result (1->win; 0->lose):0, Score:5.0, timesteps:746
57 Result (1->win; 0->lose):0, Score:8.0, timesteps:215
58 Result (1->win; 0->lose):0, Score:7.0, timesteps:962
59 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
60 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
61 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:3.0, timesteps:388
63 Result (1->win; 0->lose):0, Score:11.0, timesteps:631
64 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
65 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
66 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
67 Result (1->win; 0->lose):1, Score:15.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:5.0, timesteps:593
69 Result (1->win; 0->lose):0, Score:12.0, timesteps:948
70 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
71 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
72 Result (1->win; 0->lose):0, Score:3.0, timesteps:91
73 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:4.0, timesteps:288
75 Result (1->win; 0->lose):0, Score:7.0, timesteps:313
76 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
77 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:5.0, timesteps:449
79 Result (1->win; 0->lose):0, Score:1.0, timesteps:309
80 Result (1->win; 0->lose):0, Score:3.0, timesteps:345
81 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
82 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:7.0, timesteps:313
84 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:13.0, timesteps:718
86 Result (1->win; 0->lose):0, Score:5.0, timesteps:415
87 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
88 Result (1->win; 0->lose):1, Score:15.0, timesteps:1000
89 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
90 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
91 Result (1->win; 0->lose):1, Score:17.0, timesteps:1000
92 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
93 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:3.0, timesteps:211
95 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
96 Result (1->win; 0->lose):0, Score:3.0, timesteps:489
97 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
98 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
99 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
100 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
101 Result (1->win; 0->lose):0, Score:3.0, timesteps:484
102 Result (1->win; 0->lose):0, Score:4.0, timesteps:455
103 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:3.0, timesteps:243
105 Result (1->win; 0->lose):0, Score:3.0, timesteps:204
106 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:7.0, timesteps:720
108 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:3.0, timesteps:176
110 Result (1->win; 0->lose):0, Score:12.0, timesteps:810
111 Result (1->win; 0->lose):0, Score:5.0, timesteps:539
112 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:6.0, timesteps:466
114 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:5.0, timesteps:398
116 Result (1->win; 0->lose):0, Score:5.0, timesteps:206
117 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
118 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
119 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:11.0, timesteps:240
121 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
122 Result (1->win; 0->lose):0, Score:5.0, timesteps:210
123 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
124 Result (1->win; 0->lose):0, Score:10.0, timesteps:484
125 Result (1->win; 0->lose):0, Score:4.0, timesteps:163
126 Result (1->win; 0->lose):0, Score:4.0, timesteps:162
127 Result (1->win; 0->lose):0, Score:5.0, timesteps:887
