 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:1.0, timesteps:419
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:106
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:331
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:255
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:351
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:331
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:879
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:331
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:331
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
