 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:43
11 Result (1->win; 0->lose):0, Score:1.0, timesteps:947
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:31
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
17 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:87
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:407
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:783
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:3.0, timesteps:971
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
34 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:341
37 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:311
39 Result (1->win; 0->lose):0, Score:1.0, timesteps:899
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:44
41 Result (1->win; 0->lose):0, Score:1.0, timesteps:463
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:1.0, timesteps:563
53 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:-1.0, timesteps:191
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
58 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
62 Result (1->win; 0->lose):0, Score:1.0, timesteps:439
63 Result (1->win; 0->lose):0, Score:1.0, timesteps:579
64 Result (1->win; 0->lose):0, Score:1.0, timesteps:339
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
67 Result (1->win; 0->lose):0, Score:1.0, timesteps:411
