 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:6.0, timesteps:615
1 Result (1->win; 0->lose):0, Score:15.0, timesteps:714
2 Result (1->win; 0->lose):0, Score:36.0, timesteps:316
3 Result (1->win; 0->lose):0, Score:13.0, timesteps:698
4 Result (1->win; 0->lose):0, Score:9.0, timesteps:466
5 Result (1->win; 0->lose):0, Score:25.0, timesteps:775
6 Result (1->win; 0->lose):0, Score:16.0, timesteps:283
7 Result (1->win; 0->lose):0, Score:13.0, timesteps:615
8 Result (1->win; 0->lose):0, Score:25.0, timesteps:764
9 Result (1->win; 0->lose):0, Score:23.0, timesteps:812
10 Result (1->win; 0->lose):0, Score:9.0, timesteps:698
11 Result (1->win; 0->lose):0, Score:20.0, timesteps:714
12 Result (1->win; 0->lose):0, Score:5.0, timesteps:698
13 Result (1->win; 0->lose):1, Score:52.0, timesteps:732
14 Result (1->win; 0->lose):0, Score:19.0, timesteps:629
15 Result (1->win; 0->lose):0, Score:20.0, timesteps:764
16 Result (1->win; 0->lose):0, Score:34.0, timesteps:876
17 Result (1->win; 0->lose):0, Score:6.0, timesteps:259
18 Result (1->win; 0->lose):1, Score:53.0, timesteps:785
19 Result (1->win; 0->lose):0, Score:13.0, timesteps:618
20 Result (1->win; 0->lose):0, Score:62.0, timesteps:730
21 Result (1->win; 0->lose):0, Score:25.0, timesteps:271
22 Result (1->win; 0->lose):0, Score:19.0, timesteps:737
23 Result (1->win; 0->lose):0, Score:12.0, timesteps:103
24 Result (1->win; 0->lose):0, Score:10.0, timesteps:698
25 Result (1->win; 0->lose):0, Score:22.0, timesteps:305
26 Result (1->win; 0->lose):1, Score:58.0, timesteps:634
27 Result (1->win; 0->lose):0, Score:18.0, timesteps:698
28 Result (1->win; 0->lose):1, Score:50.0, timesteps:702
29 Result (1->win; 0->lose):0, Score:21.0, timesteps:730
30 Result (1->win; 0->lose):0, Score:22.0, timesteps:768
31 Result (1->win; 0->lose):0, Score:3.0, timesteps:340
32 Result (1->win; 0->lose):0, Score:41.0, timesteps:906
33 Result (1->win; 0->lose):0, Score:26.0, timesteps:722
34 Result (1->win; 0->lose):0, Score:29.0, timesteps:811
35 Result (1->win; 0->lose):0, Score:12.0, timesteps:139
36 Result (1->win; 0->lose):0, Score:16.0, timesteps:698
37 Result (1->win; 0->lose):0, Score:17.0, timesteps:283
38 Result (1->win; 0->lose):1, Score:51.0, timesteps:758
39 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:29.0, timesteps:698
41 Result (1->win; 0->lose):1, Score:54.0, timesteps:705
42 Result (1->win; 0->lose):0, Score:51.0, timesteps:933
43 Result (1->win; 0->lose):0, Score:7.0, timesteps:220
44 Result (1->win; 0->lose):1, Score:55.0, timesteps:712
45 Result (1->win; 0->lose):0, Score:20.0, timesteps:373
46 Result (1->win; 0->lose):0, Score:28.0, timesteps:256
47 Result (1->win; 0->lose):0, Score:18.0, timesteps:208
48 Result (1->win; 0->lose):0, Score:9.0, timesteps:487
49 Result (1->win; 0->lose):0, Score:20.0, timesteps:825
50 Result (1->win; 0->lose):0, Score:4.0, timesteps:698
51 Result (1->win; 0->lose):0, Score:45.0, timesteps:806
52 Result (1->win; 0->lose):0, Score:25.0, timesteps:301
53 Result (1->win; 0->lose):0, Score:19.0, timesteps:749
54 Result (1->win; 0->lose):1, Score:56.0, timesteps:739
55 Result (1->win; 0->lose):0, Score:33.0, timesteps:746
56 Result (1->win; 0->lose):0, Score:25.0, timesteps:262
57 Result (1->win; 0->lose):0, Score:8.0, timesteps:471
58 Result (1->win; 0->lose):0, Score:37.0, timesteps:331
59 Result (1->win; 0->lose):0, Score:18.0, timesteps:698
60 Result (1->win; 0->lose):1, Score:42.0, timesteps:722
61 Result (1->win; 0->lose):1, Score:52.0, timesteps:807
62 Result (1->win; 0->lose):0, Score:38.0, timesteps:328
63 Result (1->win; 0->lose):0, Score:51.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:14.0, timesteps:714
66 Result (1->win; 0->lose):0, Score:6.0, timesteps:319
67 Result (1->win; 0->lose):0, Score:11.0, timesteps:698
68 Result (1->win; 0->lose):1, Score:49.0, timesteps:622
69 Result (1->win; 0->lose):0, Score:38.0, timesteps:832
70 Result (1->win; 0->lose):1, Score:58.0, timesteps:884
71 Result (1->win; 0->lose):1, Score:51.0, timesteps:631
72 Result (1->win; 0->lose):0, Score:38.0, timesteps:409
73 Result (1->win; 0->lose):0, Score:44.0, timesteps:448
