 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:793
1 Result (1->win; 0->lose):0, Score:6.0, timesteps:426
2 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
4 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
5 Result (1->win; 0->lose):0, Score:10.0, timesteps:725
6 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:12.0, timesteps:754
8 Result (1->win; 0->lose):0, Score:24.0, timesteps:898
9 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:26.0, timesteps:716
12 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:10.0, timesteps:638
15 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:26.0, timesteps:969
18 Result (1->win; 0->lose):0, Score:4.0, timesteps:836
19 Result (1->win; 0->lose):0, Score:14.0, timesteps:818
20 Result (1->win; 0->lose):0, Score:28.0, timesteps:917
21 Result (1->win; 0->lose):0, Score:2.0, timesteps:737
22 Result (1->win; 0->lose):0, Score:12.0, timesteps:617
23 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
24 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
29 Result (1->win; 0->lose):0, Score:24.0, timesteps:589
30 Result (1->win; 0->lose):0, Score:8.0, timesteps:696
31 Result (1->win; 0->lose):0, Score:18.0, timesteps:676
32 Result (1->win; 0->lose):0, Score:30.0, timesteps:880
33 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:793
35 Result (1->win; 0->lose):0, Score:20.0, timesteps:822
36 Result (1->win; 0->lose):0, Score:10.0, timesteps:854
37 Result (1->win; 0->lose):0, Score:14.0, timesteps:843
38 Result (1->win; 0->lose):0, Score:20.0, timesteps:838
39 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:8.0, timesteps:498
41 Result (1->win; 0->lose):0, Score:10.0, timesteps:359
42 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:20.0, timesteps:568
44 Result (1->win; 0->lose):0, Score:12.0, timesteps:710
45 Result (1->win; 0->lose):0, Score:24.0, timesteps:942
46 Result (1->win; 0->lose):0, Score:8.0, timesteps:739
47 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:8.0, timesteps:904
49 Result (1->win; 0->lose):0, Score:12.0, timesteps:670
50 Result (1->win; 0->lose):0, Score:24.0, timesteps:721
51 Result (1->win; 0->lose):0, Score:8.0, timesteps:496
52 Result (1->win; 0->lose):0, Score:12.0, timesteps:750
53 Result (1->win; 0->lose):0, Score:22.0, timesteps:644
54 Result (1->win; 0->lose):0, Score:26.0, timesteps:615
55 Result (1->win; 0->lose):0, Score:22.0, timesteps:751
56 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
61 Result (1->win; 0->lose):0, Score:22.0, timesteps:579
62 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:22.0, timesteps:754
64 Result (1->win; 0->lose):0, Score:16.0, timesteps:497
65 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
67 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:20.0, timesteps:884
69 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
71 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
72 Result (1->win; 0->lose):0, Score:28.0, timesteps:821
73 Result (1->win; 0->lose):0, Score:22.0, timesteps:514
74 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:8.0, timesteps:860
77 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:22.0, timesteps:649
79 Result (1->win; 0->lose):0, Score:18.0, timesteps:634
80 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:32.0, timesteps:833
82 Result (1->win; 0->lose):0, Score:20.0, timesteps:594
83 Result (1->win; 0->lose):0, Score:12.0, timesteps:500
84 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:4.0, timesteps:515
86 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
87 Result (1->win; 0->lose):0, Score:10.0, timesteps:842
88 Result (1->win; 0->lose):0, Score:12.0, timesteps:635
89 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
90 Result (1->win; 0->lose):0, Score:18.0, timesteps:739
91 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
92 Result (1->win; 0->lose):0, Score:32.0, timesteps:684
93 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:10.0, timesteps:695
95 Result (1->win; 0->lose):0, Score:20.0, timesteps:687
96 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
97 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
98 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:16.0, timesteps:765
100 Result (1->win; 0->lose):0, Score:8.0, timesteps:286
101 Result (1->win; 0->lose):0, Score:14.0, timesteps:746
102 Result (1->win; 0->lose):0, Score:26.0, timesteps:775
103 Result (1->win; 0->lose):0, Score:10.0, timesteps:840
104 Result (1->win; 0->lose):0, Score:32.0, timesteps:678
105 Result (1->win; 0->lose):0, Score:18.0, timesteps:867
106 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:24.0, timesteps:833
108 Result (1->win; 0->lose):0, Score:30.0, timesteps:955
109 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
