 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:95
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:132
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:18
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:33
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:91
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:52
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:156
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:20
36 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
42 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
43 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
44 Result (1->win; 0->lose):0, Score:-2.0, timesteps:73
45 Result (1->win; 0->lose):0, Score:-2.0, timesteps:14
46 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
47 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
48 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
49 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
50 Result (1->win; 0->lose):0, Score:-2.0, timesteps:197
51 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
52 Result (1->win; 0->lose):0, Score:-2.0, timesteps:74
53 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
54 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
55 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
56 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
57 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
58 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
59 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
60 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
61 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
62 Result (1->win; 0->lose):0, Score:-2.0, timesteps:100
63 Result (1->win; 0->lose):0, Score:-2.0, timesteps:73
64 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
65 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
66 Result (1->win; 0->lose):0, Score:-2.0, timesteps:204
67 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
68 Result (1->win; 0->lose):0, Score:-2.0, timesteps:118
69 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
70 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
71 Result (1->win; 0->lose):0, Score:-2.0, timesteps:54
72 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
73 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
74 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
75 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
76 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
77 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
78 Result (1->win; 0->lose):0, Score:-2.0, timesteps:78
79 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
80 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
81 Result (1->win; 0->lose):0, Score:-2.0, timesteps:152
82 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
83 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
84 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
85 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
86 Result (1->win; 0->lose):0, Score:-2.0, timesteps:61
87 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
88 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
89 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
90 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
91 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
92 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
93 Result (1->win; 0->lose):0, Score:-2.0, timesteps:153
94 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
95 Result (1->win; 0->lose):0, Score:-2.0, timesteps:95
96 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
97 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
98 Result (1->win; 0->lose):0, Score:-2.0, timesteps:268
99 Result (1->win; 0->lose):0, Score:-2.0, timesteps:81
100 Result (1->win; 0->lose):0, Score:-2.0, timesteps:28
101 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
102 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
103 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
104 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
105 Result (1->win; 0->lose):0, Score:-2.0, timesteps:52
106 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
107 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
108 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
109 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
110 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
111 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
112 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
113 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
114 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
115 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
116 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
117 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
118 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
119 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
120 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
121 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
122 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
123 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
124 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
125 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
126 Result (1->win; 0->lose):0, Score:-2.0, timesteps:100
127 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
128 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
129 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
130 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
131 Result (1->win; 0->lose):0, Score:-2.0, timesteps:72
132 Result (1->win; 0->lose):0, Score:-2.0, timesteps:76
