 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:609
2 Result (1->win; 0->lose):0, Score:0.0, timesteps:469
3 Result (1->win; 0->lose):0, Score:0.0, timesteps:735
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:365
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:461
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:55
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:332
10 Result (1->win; 0->lose):0, Score:0.0, timesteps:794
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:121
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:145
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:106
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:261
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:203
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:752
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:151
21 Result (1->win; 0->lose):0, Score:0.0, timesteps:525
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:503
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:803
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:55
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:699
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:752
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:893
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:0.0, timesteps:487
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:275
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:599
37 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:729
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
40 Result (1->win; 0->lose):0, Score:0.0, timesteps:727
41 Result (1->win; 0->lose):0, Score:0.0, timesteps:89
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:40
44 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:686
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:302
47 Result (1->win; 0->lose):0, Score:0.0, timesteps:601
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:602
49 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:55
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:345
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:750
53 Result (1->win; 0->lose):0, Score:0.0, timesteps:208
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:281
55 Result (1->win; 0->lose):0, Score:0.0, timesteps:64
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:196
58 Result (1->win; 0->lose):0, Score:0.0, timesteps:46
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:0.0, timesteps:661
61 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:0.0, timesteps:76
63 Result (1->win; 0->lose):0, Score:0.0, timesteps:214
64 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:0.0, timesteps:108
67 Result (1->win; 0->lose):0, Score:0.0, timesteps:439
68 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:0.0, timesteps:151
71 Result (1->win; 0->lose):0, Score:0.0, timesteps:407
72 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:765
75 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
77 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:0.0, timesteps:115
79 Result (1->win; 0->lose):0, Score:0.0, timesteps:381
80 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:0.0, timesteps:313
82 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:0.0, timesteps:343
86 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
87 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
88 Result (1->win; 0->lose):0, Score:0.0, timesteps:25
89 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
91 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
92 Result (1->win; 0->lose):0, Score:0.0, timesteps:679
93 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
94 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
95 Result (1->win; 0->lose):0, Score:0.0, timesteps:859
96 Result (1->win; 0->lose):0, Score:0.0, timesteps:135
97 Result (1->win; 0->lose):0, Score:0.0, timesteps:13
98 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
100 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
101 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
103 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:0.0, timesteps:160
106 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:0.0, timesteps:954
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:189
109 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
110 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:0.0, timesteps:72
112 Result (1->win; 0->lose):0, Score:0.0, timesteps:469
113 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:73
115 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
116 Result (1->win; 0->lose):0, Score:0.0, timesteps:601
117 Result (1->win; 0->lose):0, Score:0.0, timesteps:77
118 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
119 Result (1->win; 0->lose):0, Score:0.0, timesteps:746
120 Result (1->win; 0->lose):0, Score:0.0, timesteps:439
121 Result (1->win; 0->lose):0, Score:0.0, timesteps:805
122 Result (1->win; 0->lose):0, Score:0.0, timesteps:109
123 Result (1->win; 0->lose):0, Score:0.0, timesteps:263
124 Result (1->win; 0->lose):0, Score:0.0, timesteps:61
125 Result (1->win; 0->lose):0, Score:0.0, timesteps:941
126 Result (1->win; 0->lose):0, Score:0.0, timesteps:413
127 Result (1->win; 0->lose):0, Score:0.0, timesteps:195
128 Result (1->win; 0->lose):0, Score:0.0, timesteps:919
129 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
130 Result (1->win; 0->lose):0, Score:0.0, timesteps:23
131 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
132 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
133 Result (1->win; 0->lose):0, Score:0.0, timesteps:501
134 Result (1->win; 0->lose):0, Score:0.0, timesteps:397
135 Result (1->win; 0->lose):0, Score:0.0, timesteps:33
136 Result (1->win; 0->lose):0, Score:0.0, timesteps:469
137 Result (1->win; 0->lose):0, Score:0.0, timesteps:247
138 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
139 Result (1->win; 0->lose):0, Score:0.0, timesteps:60
140 Result (1->win; 0->lose):0, Score:0.0, timesteps:259
141 Result (1->win; 0->lose):0, Score:0.0, timesteps:23
142 Result (1->win; 0->lose):0, Score:0.0, timesteps:339
143 Result (1->win; 0->lose):0, Score:0.0, timesteps:487
144 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
145 Result (1->win; 0->lose):0, Score:0.0, timesteps:311
146 Result (1->win; 0->lose):0, Score:0.0, timesteps:85
147 Result (1->win; 0->lose):0, Score:0.0, timesteps:368
148 Result (1->win; 0->lose):0, Score:0.0, timesteps:63
149 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
150 Result (1->win; 0->lose):0, Score:0.0, timesteps:222
151 Result (1->win; 0->lose):0, Score:0.0, timesteps:195
152 Result (1->win; 0->lose):0, Score:0.0, timesteps:412
153 Result (1->win; 0->lose):0, Score:0.0, timesteps:186
154 Result (1->win; 0->lose):0, Score:0.0, timesteps:261
155 Result (1->win; 0->lose):0, Score:0.0, timesteps:78
156 Result (1->win; 0->lose):0, Score:0.0, timesteps:727
157 Result (1->win; 0->lose):0, Score:0.0, timesteps:76
158 Result (1->win; 0->lose):0, Score:0.0, timesteps:163
159 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:0.0, timesteps:88
161 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
162 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
163 Result (1->win; 0->lose):0, Score:0.0, timesteps:466
164 Result (1->win; 0->lose):0, Score:0.0, timesteps:999
165 Result (1->win; 0->lose):0, Score:0.0, timesteps:981
166 Result (1->win; 0->lose):0, Score:0.0, timesteps:73
167 Result (1->win; 0->lose):0, Score:0.0, timesteps:82
168 Result (1->win; 0->lose):0, Score:0.0, timesteps:202
169 Result (1->win; 0->lose):0, Score:0.0, timesteps:39
170 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:0.0, timesteps:72
172 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
173 Result (1->win; 0->lose):0, Score:0.0, timesteps:72
174 Result (1->win; 0->lose):0, Score:0.0, timesteps:32
175 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
176 Result (1->win; 0->lose):0, Score:0.0, timesteps:438
177 Result (1->win; 0->lose):0, Score:0.0, timesteps:102
178 Result (1->win; 0->lose):0, Score:0.0, timesteps:171
179 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
180 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
181 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
182 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
183 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
184 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
185 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
186 Result (1->win; 0->lose):0, Score:0.0, timesteps:463
187 Result (1->win; 0->lose):0, Score:0.0, timesteps:276
188 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
189 Result (1->win; 0->lose):0, Score:0.0, timesteps:47
190 Result (1->win; 0->lose):0, Score:0.0, timesteps:241
191 Result (1->win; 0->lose):0, Score:0.0, timesteps:544
192 Result (1->win; 0->lose):0, Score:0.0, timesteps:397
193 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
194 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
195 Result (1->win; 0->lose):0, Score:0.0, timesteps:795
196 Result (1->win; 0->lose):0, Score:0.0, timesteps:527
197 Result (1->win; 0->lose):0, Score:0.0, timesteps:716
198 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
199 Result (1->win; 0->lose):0, Score:0.0, timesteps:73
200 Result (1->win; 0->lose):0, Score:0.0, timesteps:663
201 Result (1->win; 0->lose):0, Score:0.0, timesteps:144
202 Result (1->win; 0->lose):0, Score:0.0, timesteps:47
203 Result (1->win; 0->lose):0, Score:0.0, timesteps:53
