 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):1, Score:12.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:5.0, timesteps:64
2 Result (1->win; 0->lose):0, Score:2.0, timesteps:29
3 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
4 Result (1->win; 0->lose):0, Score:10.0, timesteps:306
5 Result (1->win; 0->lose):0, Score:6.0, timesteps:438
6 Result (1->win; 0->lose):0, Score:1.0, timesteps:201
7 Result (1->win; 0->lose):0, Score:5.0, timesteps:369
8 Result (1->win; 0->lose):0, Score:9.0, timesteps:470
9 Result (1->win; 0->lose):0, Score:1.0, timesteps:72
10 Result (1->win; 0->lose):0, Score:5.0, timesteps:344
11 Result (1->win; 0->lose):0, Score:1.0, timesteps:209
12 Result (1->win; 0->lose):0, Score:1.0, timesteps:257
13 Result (1->win; 0->lose):0, Score:1.0, timesteps:260
14 Result (1->win; 0->lose):0, Score:4.0, timesteps:154
15 Result (1->win; 0->lose):0, Score:1.0, timesteps:221
16 Result (1->win; 0->lose):0, Score:8.0, timesteps:560
17 Result (1->win; 0->lose):0, Score:2.0, timesteps:190
18 Result (1->win; 0->lose):0, Score:1.0, timesteps:221
19 Result (1->win; 0->lose):0, Score:4.0, timesteps:208
20 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
21 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:4.0, timesteps:464
23 Result (1->win; 0->lose):0, Score:3.0, timesteps:245
24 Result (1->win; 0->lose):0, Score:1.0, timesteps:197
25 Result (1->win; 0->lose):0, Score:3.0, timesteps:272
26 Result (1->win; 0->lose):0, Score:9.0, timesteps:280
27 Result (1->win; 0->lose):0, Score:1.0, timesteps:221
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:230
29 Result (1->win; 0->lose):0, Score:1.0, timesteps:197
30 Result (1->win; 0->lose):0, Score:1.0, timesteps:198
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:236
32 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:2.0, timesteps:18
34 Result (1->win; 0->lose):1, Score:22.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:5.0, timesteps:533
36 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
37 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:9.0, timesteps:707
39 Result (1->win; 0->lose):0, Score:5.0, timesteps:419
40 Result (1->win; 0->lose):0, Score:7.0, timesteps:380
41 Result (1->win; 0->lose):0, Score:3.0, timesteps:250
42 Result (1->win; 0->lose):0, Score:5.0, timesteps:450
