 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:323
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:783
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:687
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:358
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:631
22 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
24 Result (1->win; 0->lose):0, Score:1.0, timesteps:819
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:535
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:407
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:539
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
