 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:23.0, timesteps:259
1 Result (1->win; 0->lose):0, Score:1.0, timesteps:239
2 Result (1->win; 0->lose):0, Score:23.0, timesteps:418
3 Result (1->win; 0->lose):0, Score:1.0, timesteps:340
4 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:340
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:340
7 Result (1->win; 0->lose):0, Score:3.0, timesteps:811
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
9 Result (1->win; 0->lose):0, Score:51.0, timesteps:938
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:720
11 Result (1->win; 0->lose):1, Score:44.0, timesteps:442
12 Result (1->win; 0->lose):0, Score:31.0, timesteps:551
13 Result (1->win; 0->lose):0, Score:40.0, timesteps:561
14 Result (1->win; 0->lose):0, Score:7.0, timesteps:136
15 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
16 Result (1->win; 0->lose):1, Score:46.0, timesteps:665
17 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
18 Result (1->win; 0->lose):0, Score:47.0, timesteps:988
19 Result (1->win; 0->lose):0, Score:5.0, timesteps:229
20 Result (1->win; 0->lose):0, Score:6.0, timesteps:419
21 Result (1->win; 0->lose):1, Score:44.0, timesteps:780
22 Result (1->win; 0->lose):1, Score:42.0, timesteps:650
23 Result (1->win; 0->lose):1, Score:42.0, timesteps:465
24 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
25 Result (1->win; 0->lose):1, Score:47.0, timesteps:744
26 Result (1->win; 0->lose):0, Score:15.0, timesteps:226
27 Result (1->win; 0->lose):0, Score:39.0, timesteps:890
28 Result (1->win; 0->lose):0, Score:30.0, timesteps:844
29 Result (1->win; 0->lose):0, Score:30.0, timesteps:585
30 Result (1->win; 0->lose):0, Score:13.0, timesteps:812
31 Result (1->win; 0->lose):0, Score:34.0, timesteps:307
32 Result (1->win; 0->lose):0, Score:33.0, timesteps:484
33 Result (1->win; 0->lose):0, Score:13.0, timesteps:235
34 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
35 Result (1->win; 0->lose):0, Score:14.0, timesteps:325
36 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
37 Result (1->win; 0->lose):0, Score:38.0, timesteps:939
38 Result (1->win; 0->lose):1, Score:46.0, timesteps:570
39 Result (1->win; 0->lose):1, Score:51.0, timesteps:622
40 Result (1->win; 0->lose):0, Score:37.0, timesteps:789
41 Result (1->win; 0->lose):0, Score:16.0, timesteps:812
42 Result (1->win; 0->lose):0, Score:43.0, timesteps:698
43 Result (1->win; 0->lose):0, Score:32.0, timesteps:424
44 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
45 Result (1->win; 0->lose):0, Score:42.0, timesteps:892
46 Result (1->win; 0->lose):0, Score:38.0, timesteps:812
47 Result (1->win; 0->lose):0, Score:19.0, timesteps:552
48 Result (1->win; 0->lose):0, Score:22.0, timesteps:358
49 Result (1->win; 0->lose):0, Score:20.0, timesteps:454
50 Result (1->win; 0->lose):0, Score:8.0, timesteps:178
51 Result (1->win; 0->lose):0, Score:21.0, timesteps:299
52 Result (1->win; 0->lose):1, Score:43.0, timesteps:568
53 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
54 Result (1->win; 0->lose):0, Score:55.0, timesteps:1000
55 Result (1->win; 0->lose):1, Score:44.0, timesteps:436
56 Result (1->win; 0->lose):0, Score:17.0, timesteps:259
57 Result (1->win; 0->lose):0, Score:40.0, timesteps:762
58 Result (1->win; 0->lose):0, Score:49.0, timesteps:762
59 Result (1->win; 0->lose):0, Score:26.0, timesteps:520
60 Result (1->win; 0->lose):1, Score:49.0, timesteps:692
61 Result (1->win; 0->lose):0, Score:39.0, timesteps:812
62 Result (1->win; 0->lose):0, Score:36.0, timesteps:803
63 Result (1->win; 0->lose):0, Score:44.0, timesteps:986
64 Result (1->win; 0->lose):0, Score:29.0, timesteps:301
65 Result (1->win; 0->lose):0, Score:43.0, timesteps:972
66 Result (1->win; 0->lose):0, Score:23.0, timesteps:433
67 Result (1->win; 0->lose):0, Score:43.0, timesteps:874
68 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
69 Result (1->win; 0->lose):0, Score:50.0, timesteps:929
70 Result (1->win; 0->lose):1, Score:48.0, timesteps:817
71 Result (1->win; 0->lose):0, Score:52.0, timesteps:858
72 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
73 Result (1->win; 0->lose):1, Score:52.0, timesteps:700
74 Result (1->win; 0->lose):0, Score:45.0, timesteps:956
75 Result (1->win; 0->lose):1, Score:57.0, timesteps:712
76 Result (1->win; 0->lose):0, Score:47.0, timesteps:777
77 Result (1->win; 0->lose):0, Score:38.0, timesteps:714
78 Result (1->win; 0->lose):0, Score:25.0, timesteps:722
79 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
80 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
81 Result (1->win; 0->lose):1, Score:43.0, timesteps:617
82 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
83 Result (1->win; 0->lose):0, Score:14.0, timesteps:220
84 Result (1->win; 0->lose):1, Score:48.0, timesteps:743
85 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
86 Result (1->win; 0->lose):0, Score:44.0, timesteps:532
87 Result (1->win; 0->lose):1, Score:44.0, timesteps:401
88 Result (1->win; 0->lose):0, Score:39.0, timesteps:403
89 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
90 Result (1->win; 0->lose):0, Score:16.0, timesteps:217
91 Result (1->win; 0->lose):0, Score:25.0, timesteps:439
92 Result (1->win; 0->lose):0, Score:30.0, timesteps:860
93 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
94 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
95 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
96 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
97 Result (1->win; 0->lose):0, Score:27.0, timesteps:585
98 Result (1->win; 0->lose):1, Score:45.0, timesteps:666
99 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
100 Result (1->win; 0->lose):0, Score:13.0, timesteps:142
101 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
102 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
103 Result (1->win; 0->lose):1, Score:51.0, timesteps:701
104 Result (1->win; 0->lose):0, Score:25.0, timesteps:730
105 Result (1->win; 0->lose):0, Score:45.0, timesteps:970
106 Result (1->win; 0->lose):1, Score:45.0, timesteps:666
107 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
108 Result (1->win; 0->lose):0, Score:27.0, timesteps:828
109 Result (1->win; 0->lose):0, Score:15.0, timesteps:322
110 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
111 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
112 Result (1->win; 0->lose):0, Score:29.0, timesteps:283
113 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
115 Result (1->win; 0->lose):0, Score:17.0, timesteps:844
116 Result (1->win; 0->lose):0, Score:35.0, timesteps:985
117 Result (1->win; 0->lose):0, Score:49.0, timesteps:922
118 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
119 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
120 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
121 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
122 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
123 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
