 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:8.0, timesteps:485
1 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:6.0, timesteps:310
3 Result (1->win; 0->lose):0, Score:6.0, timesteps:972
4 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:4.0, timesteps:457
7 Result (1->win; 0->lose):0, Score:8.0, timesteps:612
8 Result (1->win; 0->lose):0, Score:12.0, timesteps:839
9 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:12.0, timesteps:753
11 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
12 Result (1->win; 0->lose):0, Score:12.0, timesteps:952
13 Result (1->win; 0->lose):0, Score:10.0, timesteps:593
14 Result (1->win; 0->lose):0, Score:8.0, timesteps:533
15 Result (1->win; 0->lose):0, Score:8.0, timesteps:866
16 Result (1->win; 0->lose):0, Score:12.0, timesteps:956
17 Result (1->win; 0->lose):0, Score:14.0, timesteps:816
18 Result (1->win; 0->lose):0, Score:4.0, timesteps:757
19 Result (1->win; 0->lose):0, Score:2.0, timesteps:564
20 Result (1->win; 0->lose):0, Score:6.0, timesteps:310
21 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
23 Result (1->win; 0->lose):0, Score:8.0, timesteps:855
24 Result (1->win; 0->lose):0, Score:16.0, timesteps:907
25 Result (1->win; 0->lose):0, Score:10.0, timesteps:722
26 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:8.0, timesteps:620
28 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
29 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:18.0, timesteps:860
32 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
35 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:10.0, timesteps:588
37 Result (1->win; 0->lose):0, Score:16.0, timesteps:815
38 Result (1->win; 0->lose):0, Score:12.0, timesteps:606
39 Result (1->win; 0->lose):0, Score:14.0, timesteps:648
40 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:8.0, timesteps:868
42 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:8.0, timesteps:671
47 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:6.0, timesteps:450
49 Result (1->win; 0->lose):0, Score:16.0, timesteps:705
50 Result (1->win; 0->lose):0, Score:14.0, timesteps:769
51 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:4.0, timesteps:577
54 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
67 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
69 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
71 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
72 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
74 Result (1->win; 0->lose):0, Score:4.0, timesteps:441
75 Result (1->win; 0->lose):0, Score:6.0, timesteps:310
