 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:251
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:41
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:175
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:121
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:67
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
36 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:72
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:33
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
42 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
43 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
44 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
