 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
3 Result (1->win; 0->lose):0, Score:0.0, timesteps:182
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:372
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:865
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:760
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:834
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:873
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:343
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:327
21 Result (1->win; 0->lose):0, Score:0.0, timesteps:870
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:51
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:275
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:624
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:461
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:729
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:510
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:146
37 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:953
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:529
44 Result (1->win; 0->lose):0, Score:0.0, timesteps:649
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:919
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:249
47 Result (1->win; 0->lose):0, Score:0.0, timesteps:343
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:284
49 Result (1->win; 0->lose):0, Score:0.0, timesteps:985
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:217
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:306
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:508
53 Result (1->win; 0->lose):0, Score:0.0, timesteps:219
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:995
55 Result (1->win; 0->lose):0, Score:0.0, timesteps:815
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:211
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:656
58 Result (1->win; 0->lose):0, Score:0.0, timesteps:392
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:110
60 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:0.0, timesteps:74
64 Result (1->win; 0->lose):0, Score:0.0, timesteps:311
65 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:0.0, timesteps:313
68 Result (1->win; 0->lose):0, Score:0.0, timesteps:673
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:0.0, timesteps:191
71 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
72 Result (1->win; 0->lose):0, Score:0.0, timesteps:471
73 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:127
75 Result (1->win; 0->lose):0, Score:0.0, timesteps:147
76 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:0.0, timesteps:278
79 Result (1->win; 0->lose):0, Score:0.0, timesteps:471
80 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:0.0, timesteps:496
82 Result (1->win; 0->lose):0, Score:0.0, timesteps:285
83 Result (1->win; 0->lose):0, Score:0.0, timesteps:93
84 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
87 Result (1->win; 0->lose):0, Score:0.0, timesteps:124
88 Result (1->win; 0->lose):0, Score:0.0, timesteps:600
89 Result (1->win; 0->lose):0, Score:0.0, timesteps:153
90 Result (1->win; 0->lose):0, Score:0.0, timesteps:63
91 Result (1->win; 0->lose):0, Score:0.0, timesteps:601
92 Result (1->win; 0->lose):0, Score:0.0, timesteps:693
93 Result (1->win; 0->lose):0, Score:0.0, timesteps:437
94 Result (1->win; 0->lose):0, Score:0.0, timesteps:391
95 Result (1->win; 0->lose):0, Score:0.0, timesteps:214
96 Result (1->win; 0->lose):0, Score:0.0, timesteps:217
97 Result (1->win; 0->lose):0, Score:0.0, timesteps:394
98 Result (1->win; 0->lose):0, Score:0.0, timesteps:80
99 Result (1->win; 0->lose):0, Score:0.0, timesteps:43
100 Result (1->win; 0->lose):0, Score:0.0, timesteps:213
101 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:0.0, timesteps:349
103 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
105 Result (1->win; 0->lose):0, Score:0.0, timesteps:632
106 Result (1->win; 0->lose):0, Score:0.0, timesteps:163
107 Result (1->win; 0->lose):0, Score:0.0, timesteps:109
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:863
109 Result (1->win; 0->lose):0, Score:0.0, timesteps:473
110 Result (1->win; 0->lose):0, Score:0.0, timesteps:113
111 Result (1->win; 0->lose):0, Score:0.0, timesteps:408
112 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:0.0, timesteps:311
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:446
115 Result (1->win; 0->lose):0, Score:0.0, timesteps:377
116 Result (1->win; 0->lose):0, Score:0.0, timesteps:92
117 Result (1->win; 0->lose):0, Score:0.0, timesteps:535
118 Result (1->win; 0->lose):0, Score:0.0, timesteps:117
119 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:0.0, timesteps:279
121 Result (1->win; 0->lose):0, Score:0.0, timesteps:253
122 Result (1->win; 0->lose):0, Score:0.0, timesteps:61
123 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
124 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
125 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
126 Result (1->win; 0->lose):0, Score:0.0, timesteps:637
127 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
128 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
129 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
130 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
132 Result (1->win; 0->lose):0, Score:0.0, timesteps:259
133 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
134 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
135 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
137 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
138 Result (1->win; 0->lose):0, Score:0.0, timesteps:479
139 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
140 Result (1->win; 0->lose):0, Score:0.0, timesteps:857
141 Result (1->win; 0->lose):0, Score:0.0, timesteps:473
142 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
143 Result (1->win; 0->lose):0, Score:0.0, timesteps:925
144 Result (1->win; 0->lose):0, Score:0.0, timesteps:981
145 Result (1->win; 0->lose):0, Score:0.0, timesteps:805
146 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
148 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:0.0, timesteps:991
150 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
151 Result (1->win; 0->lose):0, Score:0.0, timesteps:29
152 Result (1->win; 0->lose):0, Score:0.0, timesteps:175
153 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
154 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
155 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
156 Result (1->win; 0->lose):0, Score:0.0, timesteps:693
157 Result (1->win; 0->lose):0, Score:0.0, timesteps:563
158 Result (1->win; 0->lose):0, Score:0.0, timesteps:889
159 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:0.0, timesteps:307
