 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:9.0, timesteps:223
1 Result (1->win; 0->lose):0, Score:1.0, timesteps:289
2 Result (1->win; 0->lose):0, Score:3.0, timesteps:455
3 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:355
5 Result (1->win; 0->lose):0, Score:2.0, timesteps:424
6 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:1.0, timesteps:277
8 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:7.0, timesteps:303
10 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:1.0, timesteps:253
12 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:3.0, timesteps:353
14 Result (1->win; 0->lose):0, Score:1.0, timesteps:403
15 Result (1->win; 0->lose):0, Score:2.0, timesteps:37
16 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
17 Result (1->win; 0->lose):1, Score:11.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:217
19 Result (1->win; 0->lose):0, Score:7.0, timesteps:476
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:229
21 Result (1->win; 0->lose):0, Score:3.0, timesteps:166
22 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:1.0, timesteps:253
24 Result (1->win; 0->lose):0, Score:1.0, timesteps:36
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:229
26 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:5.0, timesteps:84
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:289
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:229
30 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:732
32 Result (1->win; 0->lose):0, Score:1.0, timesteps:463
33 Result (1->win; 0->lose):0, Score:5.0, timesteps:227
34 Result (1->win; 0->lose):0, Score:4.0, timesteps:256
35 Result (1->win; 0->lose):0, Score:7.0, timesteps:231
36 Result (1->win; 0->lose):0, Score:2.0, timesteps:42
37 Result (1->win; 0->lose):0, Score:7.0, timesteps:119
38 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:1.0, timesteps:78
40 Result (1->win; 0->lose):0, Score:1.0, timesteps:241
41 Result (1->win; 0->lose):0, Score:1.0, timesteps:265
42 Result (1->win; 0->lose):0, Score:1.0, timesteps:253
43 Result (1->win; 0->lose):0, Score:1.0, timesteps:435
44 Result (1->win; 0->lose):0, Score:3.0, timesteps:496
45 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
46 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
47 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:5.0, timesteps:200
49 Result (1->win; 0->lose):0, Score:3.0, timesteps:402
50 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:15.0, timesteps:529
52 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
53 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:1.0, timesteps:241
55 Result (1->win; 0->lose):0, Score:1.0, timesteps:271
56 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
57 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
58 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:5.0, timesteps:124
60 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
61 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
62 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
63 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:5.0, timesteps:426
65 Result (1->win; 0->lose):0, Score:9.0, timesteps:297
66 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:3.0, timesteps:383
68 Result (1->win; 0->lose):0, Score:3.0, timesteps:170
69 Result (1->win; 0->lose):0, Score:5.0, timesteps:535
70 Result (1->win; 0->lose):0, Score:7.0, timesteps:239
71 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
72 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:6.0, timesteps:86
74 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
75 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:9.0, timesteps:638
77 Result (1->win; 0->lose):0, Score:10.0, timesteps:292
78 Result (1->win; 0->lose):0, Score:5.0, timesteps:59
79 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
80 Result (1->win; 0->lose):0, Score:1.0, timesteps:253
