 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:8.0, timesteps:160
1 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:812
3 Result (1->win; 0->lose):0, Score:22.0, timesteps:418
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
6 Result (1->win; 0->lose):0, Score:1.0, timesteps:163
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:794
8 Result (1->win; 0->lose):0, Score:37.0, timesteps:876
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
10 Result (1->win; 0->lose):0, Score:14.0, timesteps:696
11 Result (1->win; 0->lose):0, Score:25.0, timesteps:576
12 Result (1->win; 0->lose):0, Score:49.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:25.0, timesteps:576
14 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
15 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
16 Result (1->win; 0->lose):0, Score:10.0, timesteps:388
17 Result (1->win; 0->lose):0, Score:10.0, timesteps:828
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
20 Result (1->win; 0->lose):1, Score:42.0, timesteps:434
21 Result (1->win; 0->lose):0, Score:15.0, timesteps:812
22 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
23 Result (1->win; 0->lose):1, Score:51.0, timesteps:560
24 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
25 Result (1->win; 0->lose):0, Score:41.0, timesteps:961
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:690
28 Result (1->win; 0->lose):0, Score:27.0, timesteps:489
29 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
30 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
31 Result (1->win; 0->lose):0, Score:5.0, timesteps:340
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:504
34 Result (1->win; 0->lose):0, Score:16.0, timesteps:698
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:719
36 Result (1->win; 0->lose):1, Score:42.0, timesteps:434
37 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
38 Result (1->win; 0->lose):0, Score:20.0, timesteps:286
39 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
40 Result (1->win; 0->lose):0, Score:48.0, timesteps:988
41 Result (1->win; 0->lose):0, Score:35.0, timesteps:778
42 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
43 Result (1->win; 0->lose):0, Score:25.0, timesteps:567
44 Result (1->win; 0->lose):0, Score:31.0, timesteps:730
45 Result (1->win; 0->lose):0, Score:1.0, timesteps:504
46 Result (1->win; 0->lose):1, Score:44.0, timesteps:509
47 Result (1->win; 0->lose):0, Score:1.0, timesteps:504
48 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
49 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
50 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
51 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
52 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
53 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
54 Result (1->win; 0->lose):0, Score:7.0, timesteps:504
55 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
56 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
57 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
58 Result (1->win; 0->lose):0, Score:29.0, timesteps:583
59 Result (1->win; 0->lose):0, Score:10.0, timesteps:812
60 Result (1->win; 0->lose):0, Score:29.0, timesteps:848
61 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
62 Result (1->win; 0->lose):0, Score:47.0, timesteps:940
63 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
64 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
65 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
66 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
67 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
68 Result (1->win; 0->lose):0, Score:45.0, timesteps:843
69 Result (1->win; 0->lose):1, Score:44.0, timesteps:394
70 Result (1->win; 0->lose):0, Score:25.0, timesteps:406
71 Result (1->win; 0->lose):1, Score:44.0, timesteps:401
72 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
73 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
74 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
75 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
76 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
77 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
78 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
79 Result (1->win; 0->lose):1, Score:42.0, timesteps:466
80 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
81 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
82 Result (1->win; 0->lose):1, Score:42.0, timesteps:737
83 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
84 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
85 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
86 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
87 Result (1->win; 0->lose):0, Score:43.0, timesteps:988
88 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
89 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
90 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
91 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
