 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:14.0, timesteps:528
1 Result (1->win; 0->lose):0, Score:10.0, timesteps:775
2 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
3 Result (1->win; 0->lose):0, Score:14.0, timesteps:449
4 Result (1->win; 0->lose):0, Score:8.0, timesteps:273
5 Result (1->win; 0->lose):0, Score:6.0, timesteps:799
6 Result (1->win; 0->lose):0, Score:24.0, timesteps:770
7 Result (1->win; 0->lose):0, Score:16.0, timesteps:491
8 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:8.0, timesteps:515
10 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
11 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
12 Result (1->win; 0->lose):0, Score:8.0, timesteps:658
13 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:2.0, timesteps:438
15 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
17 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
18 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
19 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
20 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
21 Result (1->win; 0->lose):0, Score:8.0, timesteps:579
22 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
23 Result (1->win; 0->lose):0, Score:14.0, timesteps:449
24 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
25 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
26 Result (1->win; 0->lose):0, Score:42.0, timesteps:734
27 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
28 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
29 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
33 Result (1->win; 0->lose):0, Score:24.0, timesteps:999
34 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
35 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:20.0, timesteps:737
38 Result (1->win; 0->lose):0, Score:26.0, timesteps:958
39 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
40 Result (1->win; 0->lose):0, Score:26.0, timesteps:911
41 Result (1->win; 0->lose):0, Score:14.0, timesteps:449
42 Result (1->win; 0->lose):0, Score:26.0, timesteps:911
43 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:8.0, timesteps:856
45 Result (1->win; 0->lose):0, Score:10.0, timesteps:326
46 Result (1->win; 0->lose):0, Score:10.0, timesteps:388
47 Result (1->win; 0->lose):0, Score:26.0, timesteps:911
48 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:10.0, timesteps:289
50 Result (1->win; 0->lose):0, Score:20.0, timesteps:375
51 Result (1->win; 0->lose):0, Score:12.0, timesteps:326
52 Result (1->win; 0->lose):0, Score:4.0, timesteps:376
53 Result (1->win; 0->lose):0, Score:18.0, timesteps:651
54 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:14.0, timesteps:449
56 Result (1->win; 0->lose):0, Score:10.0, timesteps:390
57 Result (1->win; 0->lose):0, Score:26.0, timesteps:911
58 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:14.0, timesteps:449
60 Result (1->win; 0->lose):0, Score:26.0, timesteps:397
61 Result (1->win; 0->lose):0, Score:12.0, timesteps:595
62 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:6.0, timesteps:466
64 Result (1->win; 0->lose):0, Score:6.0, timesteps:159
65 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
66 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:6.0, timesteps:308
69 Result (1->win; 0->lose):0, Score:18.0, timesteps:785
70 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:10.0, timesteps:433
72 Result (1->win; 0->lose):0, Score:4.0, timesteps:464
73 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
76 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
77 Result (1->win; 0->lose):0, Score:8.0, timesteps:403
78 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
79 Result (1->win; 0->lose):0, Score:22.0, timesteps:599
80 Result (1->win; 0->lose):0, Score:6.0, timesteps:493
81 Result (1->win; 0->lose):0, Score:22.0, timesteps:475
82 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:8.0, timesteps:586
84 Result (1->win; 0->lose):0, Score:8.0, timesteps:391
85 Result (1->win; 0->lose):0, Score:16.0, timesteps:617
86 Result (1->win; 0->lose):0, Score:6.0, timesteps:288
87 Result (1->win; 0->lose):0, Score:8.0, timesteps:282
88 Result (1->win; 0->lose):0, Score:12.0, timesteps:278
89 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
90 Result (1->win; 0->lose):0, Score:6.0, timesteps:262
91 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
92 Result (1->win; 0->lose):0, Score:8.0, timesteps:624
93 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:14.0, timesteps:696
95 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
96 Result (1->win; 0->lose):0, Score:18.0, timesteps:361
97 Result (1->win; 0->lose):0, Score:22.0, timesteps:586
98 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
100 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
101 Result (1->win; 0->lose):0, Score:16.0, timesteps:452
102 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
103 Result (1->win; 0->lose):0, Score:16.0, timesteps:605
104 Result (1->win; 0->lose):0, Score:10.0, timesteps:531
105 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:20.0, timesteps:674
107 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
109 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
110 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
111 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
112 Result (1->win; 0->lose):0, Score:26.0, timesteps:684
113 Result (1->win; 0->lose):0, Score:4.0, timesteps:376
114 Result (1->win; 0->lose):0, Score:16.0, timesteps:415
115 Result (1->win; 0->lose):0, Score:28.0, timesteps:782
116 Result (1->win; 0->lose):0, Score:12.0, timesteps:592
117 Result (1->win; 0->lose):0, Score:8.0, timesteps:961
118 Result (1->win; 0->lose):0, Score:16.0, timesteps:419
