 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:17.0, timesteps:302
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
2 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
3 Result (1->win; 0->lose):0, Score:2.0, timesteps:22
4 Result (1->win; 0->lose):0, Score:1.0, timesteps:679
5 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
7 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:504
9 Result (1->win; 0->lose):0, Score:11.0, timesteps:204
10 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
12 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:445
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
15 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:451
18 Result (1->win; 0->lose):0, Score:20.0, timesteps:678
19 Result (1->win; 0->lose):0, Score:9.0, timesteps:259
20 Result (1->win; 0->lose):0, Score:1.0, timesteps:836
21 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
22 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:451
25 Result (1->win; 0->lose):0, Score:2.0, timesteps:23
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:451
30 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:431
32 Result (1->win; 0->lose):0, Score:3.0, timesteps:54
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
34 Result (1->win; 0->lose):0, Score:1.0, timesteps:61
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:631
