 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:165
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:823
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:12
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:823
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
49 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
50 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
51 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
52 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
53 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
54 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
55 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
56 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
59 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
62 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
64 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
68 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
69 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
70 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
74 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
77 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
79 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
80 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
81 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
82 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
83 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
84 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
85 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
86 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
88 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
89 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
90 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
91 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
92 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
93 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
94 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
95 Result (1->win; 0->lose):0, Score:-1.0, timesteps:823
96 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
97 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:823
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
101 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
102 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
103 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
105 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
109 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:180
113 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
114 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
117 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
119 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
121 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
122 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
123 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
128 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
129 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
130 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
131 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
132 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
133 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
134 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
135 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
137 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
138 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
139 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
141 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
142 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
143 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
144 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
145 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
146 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
147 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
148 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
149 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
150 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
151 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
152 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
153 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
154 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
155 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
156 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
157 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
158 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
159 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
160 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
161 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
162 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
163 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
164 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
165 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
166 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
167 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
169 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
170 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
171 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
172 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
173 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
174 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
176 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
177 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
178 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
179 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
180 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
181 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
182 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
183 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
184 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
185 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
186 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
187 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
189 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
190 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
191 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
192 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
193 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
194 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
196 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
