 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:1.0, timesteps:555
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:299
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
4 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:299
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:503
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:183
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
15 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:123
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
24 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:495
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:299
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
31 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
37 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
39 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
44 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
47 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:-1.0, timesteps:571
50 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
55 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
58 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
64 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
66 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
69 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
72 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
79 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
80 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
82 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:-1.0, timesteps:623
85 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:299
88 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
89 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
